Sex,Year,AgeGroup,Ethnicity,Race,Deaths,Population,Crude Rate,Survival Rate scaled,Survival Rate
Female,1999,20-24 years,Non-Hispanic,White,17,5764304,0.3,0.999541104,0.999997051
Female,1999,25-29 years,Non-Hispanic,White,26,6211495,0.4,0.998509685,0.999995814
Female,1999,30-34 years,Non-Hispanic,White,39,6833145,0.6,0.997240484,0.999994293
Female,1999,35-39 years,Non-Hispanic,Black or African American,26,1507328,1.7,0.987613932,0.999982751
Female,1999,35-39 years,Non-Hispanic,White,84,8063922,1,0.993312581,0.999989583
Female,1999,40-44 years,Hispanic,White,17,1001375,1.7,0.987841141,0.999983023
Female,1999,40-44 years,Non-Hispanic,Black or African American,23,1420696,1.6,0.988497899,0.999983811
Female,1999,40-44 years,Non-Hispanic,White,113,8131895,1.4,0.990410724,0.999986104
Female,1999,45-49 years,Hispanic,White,22,784645,2.8,0.978615021,0.999971962
Female,1999,45-49 years,Non-Hispanic,Black or African American,34,1192724,2.9,0.978224658,0.999971494
Female,1999,45-49 years,Non-Hispanic,White,173,7453748,2.3,0.982642233,0.99997679
Female,1999,50-54 years,Hispanic,White,25,615108,4.1,0.968101413,0.999959357
Female,1999,50-54 years,Non-Hispanic,Black or African American,35,930401,3.8,0.970624557,0.999962382
Female,1999,50-54 years,Non-Hispanic,White,320,6654988,4.8,0.96189509,0.999951916
Female,1999,55-59 years,Hispanic,White,24,450395,5.3,0.957555961,0.999946713
Female,1999,55-59 years,Non-Hispanic,Black or African American,57,703574,8.1,0.934428419,0.999918985
Female,1999,55-59 years,Non-Hispanic,White,475,5303245,9,0.927294684,0.999910432
Female,1999,60-64 years ,Hispanic,White,35,366955,9.5,0.922447257,0.99990462
Female,1999,60-64 years ,Non-Hispanic,Black or African American,49,585855,8.4,0.932240214,0.999916362
Female,1999,60-64 years ,Non-Hispanic,White,638,4417398,14.4,0.881536404,0.999855571
Female,1999,65-69 years,Hispanic,White,59,302415,19.5,0.839276137,0.999804904
Female,1999,65-69 years,Non-Hispanic,Asian or Pacific Islander,17,159821,10.6,0.913281226,0.999893631
Female,1999,65-69 years,Non-Hispanic,Black or African American,63,507961,12.4,0.898554573,0.999875975
Female,1999,65-69 years,Non-Hispanic,White,939,4128898,22.7,0.812314402,0.999772579
Female,1999,70-74 years,Hispanic,White,75,247623,30.3,0.749376503,0.99969712
Female,1999,70-74 years,Non-Hispanic,Asian or Pacific Islander,24,129115,18.6,0.846962421,0.999814119
Female,1999,70-74 years,Non-Hispanic,Black or African American,93,435255,21.4,0.823785941,0.999786332
Female,1999,70-74 years,Non-Hispanic,White,1384,4138635,33.4,0.723078124,0.99966559
Female,1999,75-79 years,Hispanic,White,57,172699,33,0.726711147,0.999669946
Female,1999,75-79 years,Non-Hispanic,Asian or Pacific Islander,29,89163,32.5,0.730720549,0.999674753
Female,1999,75-79 years,Non-Hispanic,Black or African American,80,343390,23.3,0.807685453,0.999767029
Female,1999,75-79 years,Non-Hispanic,White,1785,3702781,48.2,0.599918346,0.99951793
Female,1999,80-84 years,Hispanic,White,54,101663,53.1,0.558968101,0.999468833
Female,1999,80-84 years,Non-Hispanic,Asian or Pacific Islander,17,50833,33.4,0.723062571,0.999665572
Female,1999,80-84 years,Non-Hispanic,Black or African American,75,227780,32.9,0.727369185,0.999670735
Female,1999,80-84 years,Non-Hispanic,White,1848,2686067,68.8,0.428161747,0.999312005
Female,1999,85+ years,Hispanic,White,51,91836,55.5,0.53880761,0.999444662
Female,1999,85+ years,Non-Hispanic,Black or African American,75,225142,33.3,0.724151312,0.999666877
Female,1999,85+ years,Non-Hispanic,White,1837,2594673,70.8,0.411485027,0.999292011
Female,2000,20-24 years,Non-Hispanic,White,23,5872407,0.4,0.998734189,0.999996083
Female,2000,25-29 years,Non-Hispanic,Black or African American,18,1339179,1.3,0.990790085,0.999986559
Female,2000,25-29 years,Non-Hispanic,White,31,5982898,0.5,0.99767924,0.999994819
Female,2000,30-34 years,Non-Hispanic,White,41,6716409,0.6,0.996909375,0.999993896
Female,2000,35-39 years,Non-Hispanic,Black or African American,19,1504513,1.3,0.991467687,0.999987371
